cct,nombre,
07DCC0727K,NIÑOS HEROES,
07DCC0728J,ROSARIO CASTELLANOS FIGUEROA,
07DCC0731X,GABRIELA MISTRAL,
07DCC0732W,CUAUHTEMOC,
07DCC0733V,DR. BELISARIO DOMINGUEZ PALENCIA,
07DCC0734U,ERASTO URBINA GARCIA,
07DCC0735T,JUAN SABINES GUTIERREZ,
07DCC0736S,FRANCISCO INDALECIO MADERO,
07DCC0739P,24 DE FEBRERO,
07DCC0741D,EMILIO RABASA ESTEBANELL,
07DCC0742C,MIGUEL HIDALGO Y COSTILLA,
07DCC0745Z,FRAY BARTOLOME DE LAS CASAS,
07DCC0747Y,FRANCISCO INDALECIO MADERO,
07DCC0752J,VICENTE SUAREZ,
07DCC0754H,MIGUEL HIDALGO Y COSTILLA,
07DCC0755G,EMILIANO ZAPATA SALAZAR,
07DCC0756F,"FRAY     MATIAS    ANTONIO    DE     CORDOVA     Y
ORDOÑEZ",
07DCC0757E,IGNACIO ZARAGOZA,
07DCC0758D,JUSTO SIERRA MENDEZ,
07DCC0759C,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC0760S,ROSARIO CASTELLANOS FIGUEROA,
07DCC0762Q,BENITO JUAREZ GARCIA,
07DCC0763P,GUADALUPE VICTORIA,
07DCC0764O,BENITO JUAREZ GARCIA,
07DCC0765N,ROSARIO CASTELLANOS FIGUEROA,
07DCC0766M,ENRIQUE PESTALOZZI,
07DCC0770Z,VICENTE GUERRERO,
07DCC0771Y,21 DE MARZO,
07DCC0772X,JUAREZ,
07DCC0773W,VOZ DE MI PATRIA,
07DCC0776T,FERNANDO MONTES DE OCA,
07DCC0779Q,JUAN ESCUTIA,
07DCC0781E,5 DE FEBRERO,
07DCC0782D,24 DE FEBRERO,
07DCC0785A,GUSTAVO ADOLFO MADERO GONZALEZ,
07DCC0787Z,VICENTE SUAREZ,
07DCC0788Y,EMILIANO ZAPATA SALAZAR,
07DCC0789X,GREGORIO TORRES QUINTERO,
07DCC0791L,GUADALUPE VICTORIA,
07DCC0792K,ANGEL ALBINO CORZO,
07DCC0794I,ENRIQUE ECHEVERRIA,
07DCC0795H,FRANCISCO VILLA,
07DCC0796G,ROSARIO CASTELLANOS FIGUEROA,
07DCC0799D,IGNACIO ALLENDE,
07DCC0801B,MARGARITA MAZA DE JUAREZ,
07DCC0805Y,LA CORREGIDORA,
07DCC0808V,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC0811I,AGUSTIN DE ITURBIDE,
07DCC0813G,FRANCISCO MARQUEZ,
07DCC0816D,MARGARITA MAZA DE JUAREZ,
07DCC0817C,GABRIELA MISTRAL,
07DCC0819A,LEONA VICARIO,
07DCC0820Q,GUADALUPE VICTORIA,
07DCC0821P,FEDERICO FROEBEL,
07DCC0823N,SOR JUANA INES DE LA CRUZ,
07DCC0825L,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC0828I,GABRIELA MISTRAL,
07DCC0830X,CRISTOBAL COLON,
07DCC0832V,JOSE VASCONCELOS CALDERON,
07DCC0833U,BENITO JUAREZ GARCIA,
07DCC0834T,NIÑOS HEROES,
07DCC0835S,FRANCISCO INDALECIO MADERO,
07DCC0836R,MARGARITA MAZA DE JUAREZ,
07DCC0838P,CUAUHTEMOC,
07DCC0839O,NARCISO MENDOZA,
07DCC0841C,FRAY PEDRO DE GANTE,
07DCC0842B,VICENTE SUAREZ,
07DCC0843A,PEDRO MARIA ANAYA,
07DCC0844Z,LAZARO CARDENAS DEL RIO,
07DCC0845Z,PABLO GALEANA,
07DCC0851J,MARIA MONTESSORI,
07DCC0852I,JAIME SABINES GUTIERREZ,
07DCC0855F,VICENTE SUAREZ,
07DCC0859B,FRANCISCO INDALECIO MADERO,
07DCC0860R,20 DE NOVIEMBRE,
07DCC0863O,IXCOATL,
07DCC0867K,IGNACIO ALLENDE,
07DCC0868J,IGNACIO RAMIREZ CALZADA,
07DCC0869I,JOSE ROSAS MORENO,
07DCC0870Y,OTILIO MONTAÑO,
07DCC0871X,ALVARO OBREGON,
07DCC0872W,JUAN DE LA BARRERA,
07DCC0873V,30 DE ABRIL,
07DCC0874U,BELISARIO DOMINGUEZ PALENCIA,
07DCC0876S,MARIANO MATAMOROS,
07DCC0877R,OTILIO MONTAÑO,
07DCC0880E,MARIA DEL CARMEN SERDAN ALATRISTE,
07DCC0883B,GREGORIO TORRES QUINTERO,
07DCC0886Z,CRISTOBAL COLON,
07DCC0888X,VICENTE SUAREZ,
07DCC0891K,CUITLAHUAC,
07DCC0893I,MARIA ADELINA FLORES MORALES,
07DCC0895G,PREESCOLAR INDIGENA,
07DCC0897E,ROSARIO CASTELLANOS FIGUEROA,
07DCC0898D,LOS NIÑOS HEROES,
07DCC0899C,JAIME NUNO,
07DCC0900B,LEONA VICARIO,
07DCC0901A,FEDERICO GARCIA LORCA,
07DCC0902Z,QUETZALCOATL,
07DCC0903Z,VICENTE SUAREZ,
07DCC0905X,IGNACIO RAMIREZ CALZADA,
07DCC0907V,IGNACIO MANUEL ALTAMIRANO,
07DCC0909T,LEONA VICARIO,
07DCC0910I,NARCISO MENDOZA,
07DCC0920P,FELIPE CARRILLO PUERTO,
07DCC0921O,CUAUHTEMOC,
07DCC0922N,MIGUEL HIDALGO Y COSTILLA,
07DCC0923M,TIERRA Y LIBERTAD,
07DCC0924L,CUAUHTEMOC,
07DCC0937P,JAIME SABINES GUTIERREZ,
07DCC0939N,JOSE MARIA MORELOS Y PAVON,
07DCC0951I,LEONA VICARIO,
07DCC0952H,MIGUEL HIDALGO Y COSTILLA,
07DCC0958B,BENITO JUAREZ GARCIA,
07DCC0959A,CUAUHTEMOC,
07DCC0964M,ROSARIO CASTELLANOS FIGUEROA,
07DCC0967J,LEONA VICARIO DE QUINTANA,
07DCC0969H,NICOLAS BRAVO,
07DCC0970X,VICENTE GUERRERO,
07DCC0972V,JUAN ESCUTIA,
07DCC0976R,MARIANO ABASOLO,
07DCC0979O,ADOLFO LOPEZ MATEOS,
07DCC0980D,BENITO JUAREZ GARCIA,
07DCC0981C,JULIO DE LA FUENTE,
07DCC0982B,HUEMAC,
